# mcs  energy  magnetization 
335  -0.8056  0.0282 
336  -0.8324  0.0694 
337  -0.8204  0.041 
338  -0.8132  0.0296 
339  -0.8308  0.0176 
340  -0.8084  0.0226 
341  -0.8024  0.0294 
342  -0.7832  0.0196 
343  -0.7936  0.0042 
344  -0.8088  -0.0084 
345  -0.822  0.0164 
346  -0.84  -0.0234 
347  -0.8152  -0.0042 
348  -0.82  -0.0152 
349  -0.826  -0.0422 
350  -0.844  -0.063 
351  -0.8228  -0.021 
352  -0.8332  -0.0372 
353  -0.8348  -0.0556 
354  -0.818  -0.0246 
355  -0.8068  0.0596 
356  -0.814  0.026 
357  -0.8076  0.0214 
358  -0.7956  0.0064 
359  -0.8084  -0.013 
360  -0.8212  0.0 
361  -0.8084  -0.0244 
362  -0.8248  0.0282 
363  -0.8208  0.0 
364  -0.7984  0.039 
365  -0.8232  0.027 
366  -0.8148  -0.0112 
367  -0.8212  0.0074 
368  -0.8164  0.0132 
369  -0.7928  0.0052 
370  -0.81  0.0198 
371  -0.8044  0.0242 
372  -0.7864  0.048 
373  -0.7892  0.0068 
374  -0.7988  -0.0402 
375  -0.798  0.0052 
376  -0.7972  0.005 
377  -0.8012  0.0232 
378  -0.8176  -0.0068 
379  -0.8076  -0.018 
380  -0.816  0.0292 
381  -0.806  0.0202 
382  -0.8256  0.0538 
383  -0.8356  0.0386 
384  -0.8296  -0.031 
385  -0.816  -0.0548 
386  -0.8132  -0.0186 
387  -0.7956  -0.0196 
388  -0.8248  0.0138 
389  -0.8096  0.0276 
390  -0.8128  -0.0024 
391  -0.7948  -0.0242 
392  -0.8052  -0.0068 
393  -0.8004  -0.055 
394  -0.8148  -0.0074 
395  -0.782  -0.0238 
396  -0.8028  0.0094 
397  -0.822  0.0324 
398  -0.7992  0.0144 
399  -0.8032  0.003 
400  -0.8104  0.0098 
401  -0.7848  0.0102 
402  -0.8084  -0.0064 
403  -0.8172  -0.037 
404  -0.8048  -0.0002 
405  -0.8288  0.004 
406  -0.8252  0.035 
407  -0.7884  0.0328 
408  -0.8088  0.0628 
409  -0.8212  0.059 
410  -0.8176  0.0406 
411  -0.7928  0.0024 
412  -0.8048  0.0092 
413  -0.8164  -0.0048 
414  -0.8508  -0.025 
415  -0.8292  -0.0256 
416  -0.7944  -0.035 
417  -0.8116  -0.007 
418  -0.7684  -0.0034 
419  -0.7944  0.0146 
420  -0.828  0.0032 
421  -0.7932  0.0056 
422  -0.7904  0.0198 
423  -0.8076  0.0226 
424  -0.8064  0.0684 
425  -0.8188  0.0364 
426  -0.8092  -0.0176 
427  -0.7968  -0.0154 
428  -0.8204  -0.0014 
429  -0.8132  0.0174 
430  -0.8324  0.0454 
431  -0.8052  0.0646 
432  -0.8192  0.0666 
433  -0.8096  0.0526 
434  -0.7968  0.024 
435  -0.806  0.0388 
436  -0.806  0.035 
437  -0.804  0.0532 
438  -0.7928  0.0628 
439  -0.8288  0.0658 
440  -0.8188  0.055 
441  -0.8264  0.0562 
442  -0.818  0.016 
443  -0.838  -0.025 
444  -0.8288  -0.0416 
445  -0.836  -0.0476 
446  -0.82  -0.058 
447  -0.8336  -0.0454 
448  -0.836  -0.034 
449  -0.848  -0.0484 
450  -0.8212  -0.0404 
451  -0.8648  0.029 
452  -0.8156  0.0314 
453  -0.798  0.022 
454  -0.788  0.0034 
455  -0.7872  0.0036 
456  -0.8196  -0.0386 
457  -0.8208  -0.0214 
458  -0.8276  0.0038 
459  -0.8008  0.0108 
460  -0.7668  0.0308 
461  -0.794  -0.0102 
462  -0.816  0.0018 
463  -0.8208  -0.0338 
464  -0.7988  -0.0164 
465  -0.8088  -0.0164 
466  -0.8188  0.0044 
467  -0.8288  -0.0262 
468  -0.8132  0.0006 
469  -0.8228  -0.0106 
470  -0.81  0.031 
471  -0.83  0.0492 
472  -0.8292  0.0538 
473  -0.8408  0.049 
474  -0.8504  0.0298 
475  -0.8344  0.0038 
476  -0.8212  -0.007 
477  -0.8052  0.0052 
478  -0.8136  0.0382 
479  -0.8256  0.0264 
480  -0.8244  0.0508 
481  -0.8232  0.0438 
482  -0.8204  0.0708 
483  -0.8404  0.0592 
484  -0.8496  0.043 
485  -0.83  0.0628 
486  -0.8248  0.0646 
487  -0.8236  0.0514 
488  -0.8424  0.0196 
489  -0.8256  0.018 
490  -0.8348  -0.0354 
491  -0.8132  -0.0344 
492  -0.8212  -0.0314 
493  -0.8536  -0.0464 
494  -0.8184  -0.0212 
495  -0.8136  0.0268 
496  -0.8196  0.016 
497  -0.7952  0.0298 
498  -0.8016  -0.0372 
499  -0.7804  -0.0432 
500  -0.7832  -0.039 
501  -0.7968  -0.017 
502  -0.8144  -0.0484 
503  -0.788  -0.0394 
504  -0.8204  -0.061 
505  -0.808  -0.0728 
506  -0.8224  -0.0602 
507  -0.8128  -0.0726 
