# mcs  energy  magnetization 
306  -1.6988  -0.6682 
307  -1.682  -0.6618 
308  -1.698  -0.6746 
309  -1.6812  -0.6726 
310  -1.686  -0.6864 
311  -1.6924  -0.6942 
312  -1.6888  -0.693 
313  -1.6776  -0.7 
314  -1.6704  -0.69 
315  -1.6892  -0.6962 
316  -1.7052  -0.7092 
317  -1.7116  -0.711 
318  -1.7216  -0.7 
319  -1.722  -0.7082 
320  -1.702  -0.6998 
321  -1.7228  -0.7132 
322  -1.7212  -0.7096 
323  -1.7164  -0.7052 
324  -1.7348  -0.7162 
325  -1.664  -0.6904 
326  -1.6884  -0.7118 
327  -1.7364  -0.7284 
328  -1.7004  -0.7174 
329  -1.7036  -0.7214 
330  -1.6908  -0.7184 
331  -1.716  -0.7262 
332  -1.702  -0.7388 
333  -1.7092  -0.7434 
334  -1.7016  -0.746 
335  -1.6872  -0.7416 
336  -1.6824  -0.7356 
337  -1.7224  -0.7478 
338  -1.7216  -0.7418 
339  -1.7128  -0.745 
340  -1.7084  -0.751 
341  -1.6944  -0.7406 
342  -1.6984  -0.7524 
343  -1.7184  -0.7514 
344  -1.7236  -0.764 
345  -1.7184  -0.7656 
346  -1.7128  -0.7764 
347  -1.7076  -0.7776 
348  -1.7004  -0.779 
349  -1.6876  -0.7744 
350  -1.7052  -0.7784 
351  -1.7232  -0.7892 
352  -1.696  -0.778 
353  -1.6952  -0.7832 
354  -1.6984  -0.7886 
355  -1.7016  -0.7918 
356  -1.722  -0.807 
357  -1.7552  -0.8258 
358  -1.7492  -0.825 
359  -1.748  -0.8176 
360  -1.7144  -0.8122 
361  -1.6912  -0.8092 
362  -1.7096  -0.8118 
363  -1.7172  -0.8208 
364  -1.7184  -0.816 
365  -1.7076  -0.821 
366  -1.726  -0.839 
367  -1.7256  -0.8278 
368  -1.7192  -0.8316 
369  -1.7228  -0.843 
370  -1.7216  -0.8462 
371  -1.7208  -0.8388 
372  -1.7252  -0.8432 
373  -1.7152  -0.8402 
374  -1.7504  -0.861 
375  -1.7244  -0.8516 
376  -1.7268  -0.852 
377  -1.7372  -0.8456 
378  -1.7296  -0.8462 
379  -1.696  -0.8346 
380  -1.7096  -0.8346 
381  -1.7016  -0.8332 
382  -1.7036  -0.8412 
383  -1.7348  -0.8502 
384  -1.746  -0.8578 
385  -1.7228  -0.848 
386  -1.712  -0.843 
387  -1.7316  -0.8556 
388  -1.7364  -0.8632 
389  -1.7312  -0.8624 
390  -1.7404  -0.8748 
391  -1.738  -0.8832 
392  -1.7368  -0.8858 
393  -1.746  -0.8874 
394  -1.7264  -0.8896 
395  -1.7676  -0.8998 
396  -1.7544  -0.9002 
